province,code
Abra,14001
Agusan del Norte,16002
Agusan del Sur,16003
Aklan,06004
Albay,05005
Antique,06006
Apayao,14081
Aurora,03077
Basilan,19007
Bataan,03008
Batanes,02009
Batangas,04010
Benguet,14011
Biliran,08078
Bohol,07012
Bukidnon,10013
Bulacan,03014
Cagayan,02015
Camarines Norte,05016
Camarines Sur,05017
Camiguin,10018
Capiz,06019
Catanduanes,05020
Cavite,04021
Cebu,07022
Cotabato,12047
Davao de Oro,11082
Davao del Norte,11023
Davao del Sur,11024
Davao Occidental,11086
Davao Oriental,11025
Dinagat Islands,16085
Eastern Samar,08026
Guimaras,06079
Ifugao,14027
Ilocos Norte,01028
Ilocos Sur,01029
Iloilo,06030
Isabela,02031
Kalinga,14032
La Union,01033
Laguna,04034
Lanao del Norte,10035
Lanao del Sur,19036
Leyte,08037
Maguindanao del Norte,19087
Maguindanao del Sur,19088
Marinduque,17040
Masbate,05041
Misamis Occidental,10042
Misamis Oriental,10043
Mountain Province,14044
Negros Occidental,18045
Negros Oriental,18046
Northern Samar,08048
Nueva Ecija,03049
Nueva Vizcaya,02050
Occidental Mindoro,17051
Oriental Mindoro,17052
Palawan,17053
Pampanga,03054
Pangasinan,01055
Quezon,04056
Quirino,02057
Rizal,04058
Romblon,17059
Samar,08060
Sarangani,12080
Siquijor,18061
Sorsogon,05062
South Cotabato,12063
Southern Leyte,08064
Sultan Kudarat,12065
Sulu,19066
Surigao del Norte,16067
Surigao del Sur,16068
Tarlac,03069
Tawi-Tawi,19070
Zambales,03071
Zamboanga del Norte,09072
Zamboanga del Sur,09073
Zamboanga Sibugay,09083
National Capital Region (NCR) - Metro Manila,138
Special Geographic Area,19999
